Connection issue
Sudden failure
Call or message
Call or message
Conflict between other system and navigation
Call or message
Call or message
Call or message
Sudden failure
Conflict between other system and navigation
Conflict between other system and navigation
Conflict between other system and navigation
Sudden failure
Conflict between other system and navigation
Conflict between other system and navigation
Conflict between other system and navigation
Conflict between other system and navigation
Sudden failure
Conflict between other system and navigation
